Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,51.450001,51.680000,50.400002,50.560001,50.560001,25667000
2019-03-21,50.529999,51.470001,50.509998,50.889999,50.889999,19660000
2019-03-22,50.470001,51.330002,49.700001,50.049999,50.049999,25714700
2019-03-25,49.599998,50.310001,49.160000,49.549999,49.549999,15897500
2019-03-26,49.810001,50.700001,49.799999,50.279999,50.279999,13413800
2019-03-27,50.049999,50.740002,49.310001,49.599998,49.599998,20805100
2019-03-28,50.509998,50.599998,48.619999,49.299999,49.299999,28490000
2019-03-29,49.950001,51.599998,49.950001,50.930000,50.930000,25118100
2019-04-01,52.349998,53.049999,52.099998,52.599998,52.599998,25392200
2019-04-02,53.049999,53.299999,51.630001,51.630001,51.630001,21442400
2019-04-03,52.779999,52.830002,51.610001,51.779999,51.779999,21477200
2019-04-04,52.000000,52.459999,51.619999,52.160000,52.160000,14145700
2019-04-05,52.200001,52.360001,51.700001,51.980000,51.980000,8359200
2019-04-08,52.500000,53.389999,52.360001,53.389999,53.389999,14400900
2019-04-09,53.180000,53.299999,52.299999,52.349998,52.349998,14745400
2019-04-10,52.740002,52.740002,51.520000,51.759998,51.759998,15608000
2019-04-11,51.500000,51.860001,50.930000,51.790001,51.790001,10274300
2019-04-12,52.090000,52.720001,51.310001,51.480000,51.480000,16905900
2019-04-15,51.590000,51.720001,50.779999,51.330002,51.330002,15787300
2019-04-16,51.270000,53.160000,50.840000,53.099998,53.099998,18935600
2019-04-17,53.160000,53.799999,51.700001,52.250000,52.250000,26483700
2019-04-18,52.200001,52.970001,52.009998,52.580002,52.580002,10706000
2019-04-22,51.950001,52.000000,50.799999,51.299999,51.299999,16324700
2019-04-23,51.590000,51.919998,51.279999,51.919998,51.919998,9890800
2019-04-24,51.549999,51.740002,50.160000,50.360001,50.360001,19992800
2019-04-25,50.230000,50.430000,49.380001,50.330002,50.330002,15916200
2019-04-26,50.480000,50.650002,49.520000,50.419998,50.419998,10632700
2019-04-29,50.939999,51.060001,50.119999,50.250000,50.250000,8729200
2019-04-30,50.220001,50.689999,49.759998,50.099998,50.099998,11371400
2019-05-02,49.279999,49.279999,48.720001,48.939999,48.939999,15906200
2019-05-03,49.450001,50.630001,49.389999,50.400002,50.400002,10614000
2019-05-06,49.599998,49.750000,49.090000,49.660000,49.660000,10437300
2019-05-07,49.349998,49.700001,48.720001,49.700001,49.700001,15190600
2019-05-08,49.820000,50.139999,48.939999,49.000000,49.000000,18474900
2019-05-09,49.000000,49.009998,48.049999,48.540001,48.540001,12456600
2019-05-10,48.299999,49.799999,48.060001,49.459999,49.459999,25272300
2019-05-13,48.529999,48.750000,47.430000,47.430000,47.430000,18657700
2019-05-14,48.180000,48.349998,47.349998,47.590000,47.590000,14183900
2019-05-15,47.150002,48.450001,47.020000,47.950001,47.950001,18447400
2019-05-16,48.549999,48.930000,45.820000,46.400002,46.400002,49247900
2019-05-17,46.400002,47.720001,46.299999,47.720001,47.720001,34079700
2019-05-20,47.619999,47.740002,46.630001,46.750000,46.750000,23909600
2019-05-21,47.099998,47.959999,46.090000,47.410000,47.410000,32381300
2019-05-22,47.779999,48.689999,47.369999,47.459999,47.459999,21087400
2019-05-23,47.070000,47.900002,46.419998,47.820000,47.820000,15786300
2019-05-24,48.639999,49.430000,48.310001,48.310001,48.310001,24936500
2019-05-27,49.000000,50.250000,48.900002,50.189999,50.189999,17281600
2019-05-28,49.950001,50.950001,49.849998,50.250000,50.250000,37041000
2019-05-29,49.520000,49.849998,49.150002,49.700001,49.700001,17842500
2019-05-30,49.709999,50.130001,49.439999,50.009998,50.009998,12877800
2019-05-31,49.509998,51.000000,48.709999,49.000000,49.000000,28857900
2019-06-03,49.349998,49.599998,48.439999,48.830002,48.830002,22451600
2019-06-04,49.180000,49.349998,48.299999,49.110001,49.110001,19537300
2019-06-05,49.279999,49.430000,47.860001,48.389999,48.389999,14392200
2019-06-06,48.889999,48.939999,48.310001,48.799999,48.799999,10869100
2019-06-07,49.049999,49.099998,48.360001,48.660000,48.660000,11626500
2019-06-10,48.950001,49.230000,48.330002,48.340000,48.340000,11670100
2019-06-11,49.759998,51.480000,49.660000,51.430000,51.430000,44669000
2019-06-12,51.549999,52.090000,50.930000,51.490002,51.490002,24531300
2019-06-13,51.900002,52.250000,51.590000,51.849998,51.849998,18058600
2019-06-14,51.700001,51.820000,51.150002,51.400002,51.400002,20375200
2019-06-17,51.000000,51.330002,50.200001,50.200001,50.200001,20551200
2019-06-18,51.000000,52.419998,51.000000,52.000000,52.000000,27229300
2019-06-19,53.000000,53.099998,51.830002,52.299999,52.299999,23746400
2019-06-21,52.750000,52.930000,52.099998,52.439999,52.439999,20492800
2019-06-24,52.480000,52.480000,52.099998,52.400002,52.400002,9338300
2019-06-25,52.189999,52.470001,51.340000,51.380001,51.380001,12449700
2019-06-26,51.500000,52.040001,51.369999,51.580002,51.580002,13277900
2019-06-27,52.150002,52.150002,51.520000,51.700001,51.700001,14941500
2019-06-28,52.070000,52.200001,51.689999,51.820000,51.820000,11106100
2019-07-01,53.099998,53.790001,53.099998,53.650002,53.650002,22807300
2019-07-02,54.099998,54.160000,50.020000,51.389999,51.389999,48452700
2019-07-03,51.770000,51.970001,51.150002,51.290001,51.290001,19929700
2019-07-04,51.680000,52.099998,51.150002,51.669998,51.669998,16192600
2019-07-05,50.400002,50.580002,49.759998,50.360001,50.360001,27847600
2019-07-08,50.650002,51.599998,50.459999,50.950001,50.950001,12777600
2019-07-10,51.610001,52.560001,51.400002,52.130001,52.130001,28106700
2019-07-11,51.869999,52.500000,51.720001,52.049999,52.049999,18567500
2019-07-12,52.459999,52.779999,51.730000,51.810001,51.810001,22248600
2019-07-15,52.459999,52.930000,52.250000,52.689999,52.689999,20144200
2019-07-16,53.200001,53.470001,52.790001,53.049999,53.049999,17393700
2019-07-17,52.990002,53.119999,52.459999,52.689999,52.689999,13876700
2019-07-18,52.610001,52.820000,52.230000,52.590000,52.590000,12217200
2019-07-19,52.810001,53.230000,52.549999,52.720001,52.720001,11523100
